Date,Book,Start Chapter,End Chapter
2024-09-08,1 Kings,1,4
2024-09-09,1 Kings,5,8
2024-09-10,1 Kings,9,12
2024-09-11,1 Kings,13,16
2024-09-12,1 Kings,17,20
2024-09-13,1 Kings,21,22
2024-09-14,2 John,1,1
2024-09-15,Zephaniah,1,3
2024-09-16,2 Chronicles,1,4
2024-09-17,2 Chronicles,5,8
2024-09-18,2 Chronicles,9,12
2024-09-19,2 Chronicles,13,16
2024-09-20,2 Chronicles,17,20
2024-09-21,2 Chronicles,21,24
2024-09-22,2 Chronicles,25,28
2024-09-23,2 Chronicles,29,32
2024-09-24,2 Chronicles,33,36
2024-09-25,2 Chronicles,37,37
2024-09-26,Obadiah,1,1
2024-09-27,Revelation,1,4
2024-09-28,Revelation,5,8
2024-09-29,Revelation,9,12
2024-09-30,Revelation,13,16
2024-10-01,Revelation,17,20
2024-10-02,Revelation,21,22
2024-10-03,Amos,1,4
2024-10-04,Amos,5,8
2024-10-05,Amos,9,9
2024-10-06,1 Chronicles,1,4
2024-10-07,1 Chronicles,5,8
2024-10-08,1 Chronicles,9,12
2024-10-09,1 Chronicles,13,16
2024-10-10,1 Chronicles,17,20
2024-10-11,1 Chronicles,21,24
2024-10-12,1 Chronicles,25,28
2024-10-13,1 Chronicles,29,29
2024-10-14,Leviticus,1,4
2024-10-15,Leviticus,5,8
2024-10-16,Leviticus,9,12
2024-10-17,Leviticus,13,16
2024-10-18,Leviticus,17,20
2024-10-19,Leviticus,21,24
2024-10-20,Leviticus,25,27
2024-10-21,Micah,1,4
2024-10-22,Micah,5,7
2024-10-23,Hosea,1,4
2024-10-24,Hosea,5,8
2024-10-25,Hosea,9,12
2024-10-26,Hosea,13,14
2024-10-27,John,1,4
2024-10-28,John,5,8
2024-10-29,John,9,12
2024-10-30,John,13,16
2024-10-31,John,17,20
2024-11-01,John,21,21
2024-11-02,Isaiah,1,4
2024-11-03,Isaiah,5,8
2024-11-04,Isaiah,9,12
2024-11-05,Isaiah,13,16
2024-11-06,Isaiah,17,20
2024-11-07,Isaiah,21,24
2024-11-08,Isaiah,25,28
2024-11-09,Isaiah,29,32
2024-11-10,Isaiah,33,36
2024-11-11,Isaiah,37,40
2024-11-12,Isaiah,41,44
2024-11-13,Isaiah,45,48
2024-11-14,Isaiah,49,52
2024-11-15,Isaiah,53,56
2024-11-16,Isaiah,57,60
2024-11-17,Isaiah,61,64
2024-11-18,Isaiah,65,67
2024-11-19,Ephesians,1,4
2024-11-20,Ephesians,5,6
2024-11-21,1 Thessalonians,1,4
2024-11-22,1 Thessalonians,5,5
2024-11-23,Jonah,1,4
2024-11-24,2 Samuel,1,4
2024-11-25,2 Samuel,5,8
2024-11-26,2 Samuel,9,12
2024-11-27,2 Samuel,13,16
2024-11-28,2 Samuel,17,20
2024-11-29,2 Samuel,21,24
2024-11-30,1 Samuel,1,4
2024-12-01,1 Samuel,5,8
2024-12-02,1 Samuel,9,12
2024-12-03,1 Samuel,13,16
2024-12-04,1 Samuel,17,20
2024-12-05,1 Samuel,21,24
2024-12-06,1 Samuel,25,28
2024-12-07,1 Samuel,29,31
